9/27/16,7:00 PM,Arizona at Anaheim,Honda Center - Anaheim, ,9/27/16,10:00 PM
9/28/16,7:30 PM,Anaheim at Los Angeles,STAPLES Center - Los Angeles, ,9/28/16,10:30 PM
10/1/16,6:00 PM,Anaheim at Arizona,Gila River Arena - Arizona, ,10/1/16,9:00 PM
10/2/16,5:00 PM,Los Angeles at Anaheim,Honda Center - Anaheim,PRIME,10/2/16,8:00 PM
10/4/16,7:00 PM,Anaheim at Edmonton,Rogers Place - Edmonton, ,10/4/16,10:00 PM
10/5/16,7:30 PM,Anaheim at San Jose,SAP Center at San Jose - San Jose, ,10/5/16,10:30 PM
10/9/16,5:00 PM,San Jose at Anaheim,Honda Center - Anaheim,NHLN-US /  PRIME,10/9/16,8:00 PM
10/13/16,7:30 PM,Anaheim at Dallas,American Airlines Center - Dallas - TX,PRIME /  FS-SW,10/13/16,10:30 PM
10/15/16,7:00 PM,Anaheim at Pittsburgh,CONSOL Energy Center - Pittsburgh - PA,PRIME /  ROOT,10/15/16,10:00 PM
10/16/16,6:00 PM,Anaheim at Ny Islanders,Barclays Center - Brooklyn  - NY,PRIME /  MSG+,10/16/16,9:00 PM
10/18/16,4:00 PM,Anaheim at New Jersey,Prudential Center - Newark - NJ,PRIME /  MSG,10/18/16,10:00 PM
10/20/16,4:00 PM,Anaheim at Philadelphia,Wells Fargo Center - Philadelphia - PA,PRIME /  CSN-PH,10/20/16,10:00 PM
10/23/16,5:00 PM,Vancouver at Anaheim,Honda Center - Anaheim - CA,SN /  PRIME,10/23/16,8:00 PM
10/25/16,7:00 PM,Anaheim at San Jose,SAP Center at San Jose - San Jose - CA,NBCSN,10/25/16,10:00 PM
10/26/16,7:30 PM,Nashville at Anaheim,Honda Center - Anaheim - CA,FS-TN /  PRIME,10/26/16,10:30 PM
10/28/16,7:00 PM,Columbus at Anaheim,Honda Center - Anaheim - CA,FS-O /  PRIME,10/28/16,10:00 PM
11/1/16,7:30 PM,Anaheim at Los Angeles,STAPLES Center - Los Angeles - CA,PRIME /  FS-W,11/1/16,10:30 PM
11/2/16,7:30 PM,Pittsburgh at Anaheim,Honda Center - Anaheim - CA,ROOT /  FS-W,11/2/16,10:30 PM
11/4/16,7:00 PM,Arizona at Anaheim,Honda Center - Anaheim - CA,FS-W,11/4/16,10:00 PM
